build,zone,frame,ms
A,Atrium,127,17.92
A,Atrium,128,17.92
A,Atrium,129,16.76
A,Atrium,130,15.77
A,Atrium,131,17.97
A,Atrium,132,15.92
A,Atrium,133,17.06
A,Atrium,134,17.33
A,Atrium,135,16.34
A,Atrium,136,17.88
A,Atrium,137,16.44
A,Atrium,138,19.64
A,Atrium,139,15.22
A,Atrium,140,16.92
A,Atrium,141,18.07
A,Atrium,142,17.39
A,Atrium,143,16.49
A,Atrium,144,17.5
A,Atrium,145,16.3
A,Atrium,146,16.95
A,Atrium,147,16.95
A,Atrium,148,17.04
A,Atrium,149,17.4
A,Atrium,150,16.81
A,Atrium,151,17.21
A,Atrium,152,15.83
A,Atrium,153,17.61
A,Atrium,154,15.5
A,Atrium,155,16.52
A,Atrium,156,18.49
A,Atrium,157,16.34
A,Atrium,158,16.31
A,Atrium,159,16.14
A,Atrium,160,16.74
A,Atrium,161,16.81
A,Atrium,162,17.95
A,Atrium,163,14.98
A,Atrium,164,14.11
A,Atrium,165,17.35
A,Atrium,166,17.57
A,Atrium,167,18.2
A,Atrium,168,15.68
A,Atrium,169,16.63
A,Atrium,170,17.38
A,Atrium,171,16.95
A,Atrium,172,15.48
A,Atrium,173,17.24
A,Atrium,174,18.31
A,Atrium,175,17.89
A,Atrium,176,17.89
A,Atrium,177,17.33
A,Atrium,178,18.49
A,Atrium,179,18.69
A,Atrium,180,18.93
A,Atrium,181,17.97
A,Atrium,182,15.96
A,Atrium,183,17.7
A,Atrium,184,16.24
A,Atrium,185,17.03
A,Atrium,186,18.22
A,Atrium,187,17.49
A,Atrium,188,16.26
A,Atrium,189,16.91
A,Atrium,190,16.95
A,Atrium,191,17.72
A,Atrium,192,17.03
A,Atrium,193,15.74
A,Atrium,194,16.89
A,Atrium,195,15.76
A,Atrium,196,17.36
A,Atrium,197,18.01
A,Atrium,198,18.31
A,Atrium,199,16.52
A,Atrium,200,16.06
A,Atrium,201,16.6
A,Atrium,202,17.58
A,Atrium,203,17.67
A,Atrium,204,15.99
A,Atrium,205,17.24
A,Atrium,206,15.98
A,Atrium,207,16.61
A,Atrium,208,16.22
A,Atrium,209,17.55
A,Atrium,210,16.86
A,Atrium,211,16.47
A,Atrium,212,15.17
A,Atrium,213,15.52
A,Atrium,214,17.79
A,Atrium,215,17.69
A,Atrium,216,16.43
A,Atrium,217,17.82
A,Atrium,218,16.32
A,Atrium,219,16.74
A,Atrium,220,15.81
A,Atrium,221,17.11
A,Atrium,222,17.8
A,Atrium,223,18.08
A,Atrium,224,19.02
A,Atrium,225,14.63
A,Atrium,226,15.56
A,Atrium,227,17.48
A,Atrium,228,18.39
A,Atrium,229,16.38
A,Atrium,230,17.41
A,Atrium,231,16.92
A,Atrium,232,16.78
A,Atrium,233,16.99
A,Atrium,234,17.79
A,Atrium,235,17.74
A,Atrium,236,17.96
A,Atrium,237,16.57
A,Atrium,238,16.02
A,Atrium,239,18.16
A,Atrium,240,16.34
A,Atrium,241,18.22
A,Atrium,242,16.65
A,Atrium,243,17.22
A,Atrium,244,17.15
A,Atrium,245,15.85
A,Atrium,246,15.03
A,Atrium,247,16.63
A,Atrium,248,16.06
A,Atrium,249,16.55
A,Atrium,250,18.8
A,Atrium,251,17.93
A,Atrium,252,15.92
A,Atrium,253,16.66
A,Atrium,254,16.49
A,Atrium,255,18.91
A,Atrium,256,15.31
A,Atrium,257,17.79
A,Atrium,258,16.76
A,Atrium,259,16.61
A,Atrium,260,17.26
A,Atrium,261,16.96
A,Atrium,262,17.43
A,Atrium,263,15.69
A,Atrium,264,17.48
A,Atrium,265,16.83
A,Atrium,266,15.97
A,Atrium,267,17.3
A,Atrium,268,19.63
A,Atrium,269,16.33
A,Atrium,270,17.34
A,Atrium,271,17.25
A,Atrium,272,15.97
A,Atrium,273,18.52
A,Atrium,274,16.83
A,Atrium,275,17.32
A,Atrium,276,15.18
A,Atrium,277,19.55
A,Atrium,278,14.5
A,Atrium,279,16.34
A,Atrium,280,16.47
A,Atrium,281,16.43
A,Atrium,282,16.65
A,Atrium,283,17.57
A,Atrium,284,15.96
A,Atrium,285,17.07
A,Atrium,286,16.55
A,Atrium,287,16.11
A,Atrium,288,18.01
A,Atrium,289,17.02
A,Atrium,290,16.27
A,Atrium,291,17.37
A,Atrium,292,17.62
A,Atrium,293,16.57
A,Atrium,294,17.19
A,Atrium,295,16.17
A,Atrium,296,17.87
A,Atrium,297,18.59
A,Atrium,298,17.8
A,Atrium,299,15.97
A,Atrium,300,17.68
A,Atrium,301,15.37
A,Atrium,302,17.4
A,Atrium,303,15.26
A,Atrium,304,19.47
A,Atrium,305,17.59
A,Atrium,306,16.88
A,Atrium,307,18.11
A,Atrium,308,19.01
A,Atrium,309,17.21
A,Atrium,310,16.12
A,Atrium,311,17.71
A,Atrium,312,17.29
A,Atrium,313,15.32
A,Atrium,314,15.68
A,Atrium,315,15.36
A,Atrium,316,15.53
A,Atrium,317,16.94
A,Atrium,318,19.03
A,Atrium,319,15.65
A,Atrium,320,17.46
A,Atrium,321,18.59
A,Atrium,322,16.39
A,Atrium,323,16.54
A,Atrium,324,17.82
A,Atrium,325,16.94
A,Atrium,326,16.41
A,Atrium,327,17.39
A,Atrium,328,17.88
A,Atrium,329,16.37
A,Atrium,330,15.17
A,Atrium,331,18.27
A,Atrium,332,17.02
A,Atrium,333,17.85
A,Atrium,334,14.01
A,Atrium,335,16.95
A,Atrium,336,15.81
A,Atrium,337,18.13
A,Atrium,338,16.41
A,Atrium,339,18.71
A,Atrium,340,15.39
A,Atrium,341,17.03
A,Atrium,342,16.83
A,Atrium,343,19.7
A,Atrium,344,16.33
A,Atrium,345,16.12
A,Atrium,346,18.75
A,Atrium,347,17.57
A,Atrium,348,15.8
A,Atrium,349,17.11
A,Atrium,350,18.05
A,Atrium,351,17.23
A,Atrium,352,16.02
A,Atrium,353,16.62
A,Atrium,354,16.92
A,Atrium,355,16.83
A,Atrium,356,16.94
A,Atrium,357,17.39
A,Atrium,358,16.85
A,Atrium,359,18.12
A,Atrium,360,18.16
A,Atrium,361,17.37
A,Atrium,362,16.95
A,Atrium,363,17.08
A,Atrium,364,17.95
A,Atrium,365,16.95
A,Atrium,366,16.56
A,Atrium,367,16.72
A,Atrium,368,18.23
A,Atrium,369,15.74
A,Atrium,370,16.29
A,Atrium,371,15.42
A,Atrium,372,17.17
A,Atrium,373,15.32
A,Atrium,374,16.83
A,Atrium,375,16.89
A,Atrium,376,18.08
A,Atrium,377,17.23
A,Atrium,378,17.63
A,Atrium,379,15.59
A,Atrium,380,17.61
A,Atrium,381,18.02
A,Atrium,382,17.83
A,Atrium,383,18.87
A,Atrium,384,16.82
A,Atrium,385,15.28
A,Atrium,386,17.44
A,Atrium,387,19.3
A,Atrium,388,16.08
A,Atrium,389,17.36
A,Atrium,390,16.18
A,Atrium,391,17.42
A,Atrium,392,16.97
A,Atrium,393,17.18
A,Atrium,394,16.79
A,Atrium,395,17.98
A,Atrium,396,16.31
A,Atrium,397,17.67
A,Atrium,398,17.92
A,Atrium,399,18.1
A,Atrium,400,15.66
A,Atrium,401,15.83
A,Atrium,402,17.43
A,Atrium,403,17.93
A,Atrium,404,16.69
A,Atrium,405,18.08
A,Atrium,406,17.49
A,Atrium,407,17.24
A,Atrium,408,17.44
A,Atrium,409,16.42
A,Atrium,410,17.03
A,Atrium,411,18.28
A,Atrium,412,17.09
A,Atrium,413,15.88
A,Atrium,414,16.39
A,Atrium,415,17.07
A,Atrium,416,18.01
A,Atrium,417,16.07
A,Atrium,418,16.87
A,Atrium,419,17.53
A,Atrium,420,16.45
A,Atrium,421,17.38
A,Atrium,422,16.28
A,Atrium,423,18.22
A,Atrium,424,15.88
A,Atrium,425,16.9
A,Atrium,426,17.79
A,Atrium,427,17.36
A,Atrium,428,20.1
A,Atrium,429,17.3
A,Atrium,430,17.93
A,Atrium,431,18.16
A,Atrium,432,17.27
A,Atrium,433,17.73
A,Atrium,434,15.72
A,Atrium,435,17.22
A,Atrium,436,15.93
A,Atrium,437,17.8
A,Atrium,438,17.27
A,Atrium,439,17.53
A,Atrium,440,15.74
A,Atrium,441,17.74
A,Atrium,442,15.91
A,Atrium,443,16.14
A,Atrium,444,19.07
A,Atrium,445,16.66
A,Atrium,446,17.2
A,Atrium,447,17.61
A,Atrium,448,18.47
A,Atrium,449,17.91
A,Atrium,450,16.79
A,Atrium,451,15.37
A,Atrium,452,18.3
A,Atrium,453,17.35
A,Atrium,454,16.48
A,Atrium,455,18.37
A,Atrium,456,16.36
A,Atrium,457,17.84
A,Atrium,458,17.74
A,Atrium,459,16.42
A,Atrium,460,16.48
A,Atrium,461,17.34
A,Atrium,462,15.72
A,Atrium,463,16.07
A,Atrium,464,16.68
A,Atrium,465,14.62
A,Atrium,466,15.87
A,Atrium,467,16.94
A,Atrium,468,14.82
A,Atrium,469,15.88
A,Atrium,470,17.29
A,Atrium,471,17.36
A,Atrium,472,16.37
A,Atrium,473,15.45
A,Atrium,474,17.22
A,Atrium,475,17.21
A,Atrium,476,15.4
A,Atrium,477,16.45
A,Atrium,478,16.68
A,Atrium,479,15.47
A,Atrium,480,18.52
A,Atrium,481,16.24
A,Atrium,482,18.63
A,Atrium,483,17.25
A,Atrium,484,17.75
A,Atrium,485,17.87
A,Atrium,486,16.73
A,Atrium,487,16.82
A,Atrium,488,17.62
A,Atrium,489,16.39
A,Atrium,490,17.75
A,Atrium,491,17.47
A,Atrium,492,16.37
A,Atrium,493,16.51
A,Atrium,494,17.69
A,Atrium,495,15.62
A,Atrium,496,15.9
A,Atrium,497,18.51
A,Atrium,498,18.95
A,Atrium,499,15.75
A,Atrium,500,19.04
A,Atrium,501,15.72
A,Atrium,502,18.21
A,Atrium,503,17.01
A,Atrium,504,16.6
A,Atrium,505,19.09
A,Atrium,506,16.31
A,Atrium,507,19.33
A,Atrium,508,18.07
A,Atrium,509,19.45
A,Atrium,510,18.03
A,Atrium,511,16.33
A,Atrium,512,16.32
A,Atrium,513,16.27
A,Atrium,514,15.26
A,Atrium,515,16.5
A,Atrium,516,17.74
A,Atrium,517,17.04
A,Atrium,518,15.41
A,Atrium,519,17.46
A,Atrium,520,16.18
A,Atrium,521,15.85
A,Atrium,522,15.49
A,Atrium,523,16.54
A,Atrium,524,17.79
A,Atrium,525,16.86
A,Atrium,526,18.2
A,Atrium,527,15.39
A,Atrium,528,16.1
A,Atrium,529,16.48
A,Atrium,530,18.35
A,Atrium,531,17.05
A,Atrium,532,16.9
A,Atrium,533,18.83
A,Atrium,534,16.24
A,Atrium,535,18.92
A,Atrium,536,15.98
A,Atrium,537,17.41
A,Atrium,538,16.22
A,Atrium,539,17.2
A,Atrium,540,17.18
A,Atrium,541,16.28
A,Atrium,542,17.44
A,Atrium,543,14.75
A,Atrium,544,17.78
A,Atrium,545,16.24
A,Atrium,546,17.02
A,Atrium,547,18.17
A,Atrium,548,18.11
A,Atrium,549,15.32
A,Atrium,550,15.91
A,Atrium,551,17.15
A,Atrium,552,18.12
A,Atrium,553,15.12
A,Atrium,554,15.43
A,Atrium,555,16.8
A,Atrium,556,17.46
A,Atrium,557,17.7
A,Atrium,558,17.97
A,Atrium,559,18.39
A,Atrium,560,18.01
A,Atrium,561,16.26
A,Atrium,562,18.14
A,Atrium,563,17.63
A,Atrium,564,17.32
A,Atrium,565,15.3
A,Atrium,566,17.74
A,Atrium,567,17.75
A,Atrium,568,15.28
A,Atrium,569,16.44
A,Atrium,570,17.47
A,Atrium,571,16.05
A,Atrium,572,16.04
A,Atrium,573,16.85
A,Atrium,574,16.77
A,Atrium,575,16.73
A,Atrium,576,16.82
A,Atrium,577,18.61
A,Atrium,578,18.19
A,Atrium,579,18.05
A,Atrium,580,18.16
A,Atrium,581,17.6
A,Atrium,582,16.84
A,Atrium,583,17.71
A,Atrium,584,15.06
A,Atrium,585,15.54
A,Atrium,586,17.88
A,Atrium,587,18.69
A,Atrium,588,16.83
A,Atrium,589,18.59
A,Atrium,590,14.77
A,Atrium,591,17.99
A,Atrium,592,15.75
A,Atrium,593,19.19
A,Atrium,594,17.09
A,Atrium,595,17.2
A,Atrium,596,14.81
A,Atrium,597,16.75
A,Atrium,598,16.64
A,Atrium,599,17.7
A,Atrium,600,15.65
A,Atrium,601,16.2
A,Atrium,602,15.87
A,Atrium,603,16.22
A,Atrium,604,15.9
A,Atrium,605,18.82
A,Atrium,606,17.39
A,Atrium,607,16.84
A,Atrium,608,15.94
A,Atrium,609,17.69
A,Atrium,610,16.04
A,Atrium,611,16.68
A,Atrium,612,17.55
A,Atrium,613,18.26
A,Atrium,614,17.21
A,Atrium,615,16.34
A,Atrium,616,16.13
A,Atrium,617,16.22
A,Atrium,618,18.23
A,Atrium,619,17.22
A,Atrium,620,17.27
A,Atrium,621,16.61
A,Atrium,622,16.7
A,Atrium,623,18.53
A,Atrium,624,14.52
A,Atrium,625,16.03
A,Atrium,626,17.21
A,Atrium,627,16.7
A,Atrium,628,16.01
A,Atrium,629,19.03
A,Atrium,630,17.38
A,Atrium,631,18.45
A,Atrium,632,16.21
A,Atrium,633,17.87
A,Atrium,634,14.79
A,Atrium,635,18.13
A,Atrium,636,17.67
A,Atrium,637,14.69
A,Atrium,638,17.09
A,Atrium,639,18.07
A,Atrium,640,16.88
A,Atrium,641,16.54
A,Atrium,642,17.62
A,Atrium,643,15.81
A,Atrium,644,17.7
A,Atrium,645,17.01
A,Atrium,646,16.84
A,Atrium,647,16.61
A,Atrium,648,16.85
A,Atrium,649,16.96
A,Atrium,650,17.06
A,Atrium,651,16.2
A,Atrium,652,18.22
A,Atrium,653,15.51
A,Atrium,654,15.1
A,Atrium,655,16.89
A,Atrium,656,19.05
A,Atrium,657,16
A,Atrium,658,15.14
A,Atrium,659,17.17
A,Atrium,660,14.87
A,Atrium,661,17.52
A,Atrium,662,14.9
A,Atrium,663,16.69
A,Atrium,664,16.72
A,Atrium,665,18.18
A,Atrium,666,17.19
A,Atrium,667,17.93
A,Atrium,668,17.68
A,Atrium,669,15.97
A,Atrium,670,16.09
A,Atrium,671,16.46
A,Atrium,672,20.22
A,Atrium,673,16.92
A,Atrium,674,16.53
A,Atrium,675,16.65
A,Atrium,676,14.49
A,Atrium,677,17
A,Atrium,678,18.39
A,Atrium,679,15.89
A,Atrium,680,18.09
A,Atrium,681,18.65
A,Atrium,682,16.7
A,Atrium,683,18.62
A,Atrium,684,16.02
A,Atrium,685,19.69
A,Atrium,686,15.47
A,Atrium,687,15.64
A,Atrium,688,17.97
A,Atrium,689,17.52
A,Atrium,690,17.3
A,Atrium,691,19.01
A,Atrium,692,15.9
A,Atrium,693,16.34
A,Atrium,694,15.64
A,Atrium,695,17.96
A,Atrium,696,17.34
A,Atrium,697,15.63
A,Atrium,698,14.69
A,Atrium,699,17.29
A,Atrium,700,15.72
A,Atrium,701,17.5
A,Atrium,702,16.53
A,Atrium,703,17.16
A,Atrium,704,17.5
A,Atrium,705,17.12
A,Atrium,706,17.28
A,Atrium,707,17.33
A,Atrium,708,15.97
A,Atrium,709,18.02
A,Atrium,710,17.02
A,Atrium,711,17.24
A,Atrium,712,17.12
A,Atrium,713,15.83
A,Atrium,714,16.6
A,Atrium,715,15.03
A,Atrium,716,16.54
A,Atrium,717,17.08
A,Atrium,718,16.21
A,Atrium,719,16.98
A,Atrium,720,17.94
A,Atrium,721,17.19
A,Atrium,722,16.99
A,Atrium,723,18.05
A,Atrium,724,17.96
A,Atrium,725,16.69
A,Atrium,726,18.1
A,Atrium,727,17.35
A,Atrium,728,19.88
A,Atrium,729,18.41
A,Atrium,730,17.16
A,Atrium,731,16.01
A,Atrium,732,17.58
A,Atrium,733,17.37
A,Atrium,734,19
A,Atrium,735,17.11
A,Atrium,736,18.18
A,Atrium,737,16.53
A,Atrium,738,17.41
A,Atrium,739,18.08
A,Atrium,740,16.44
A,Atrium,741,17.48
A,Atrium,742,17.73
A,Atrium,743,19.36
A,Atrium,744,17.84
A,Atrium,745,16.85
A,Atrium,746,17.03
A,Atrium,747,16.98
A,Atrium,748,15.59
A,Atrium,749,17.6
A,Atrium,750,17.4
A,Atrium,751,17.68
A,Atrium,752,18.74
A,Atrium,753,16.86
A,Atrium,754,18.9
A,Atrium,755,16.31
A,Atrium,756,16.68
A,Atrium,757,16.79
A,Atrium,758,17.2
A,Atrium,759,16.71
A,Atrium,760,16.89
A,Atrium,761,17.17
A,Atrium,762,14.83
A,Atrium,763,16.16
A,Atrium,764,17.3
A,Atrium,765,16.72
A,Atrium,766,16.31
A,Atrium,767,14.82
A,Atrium,768,16.14
A,Atrium,769,18.28
A,Atrium,770,16.74
A,Atrium,771,16.17
A,Atrium,772,17.09
A,Atrium,773,16.75
A,Atrium,774,17.66
A,Atrium,775,16.37
A,Atrium,776,18.2
A,Atrium,777,18.01
A,Atrium,778,16.66
A,Atrium,779,18.51
A,Atrium,780,17.01
A,Atrium,781,18.2
A,Atrium,782,16.16
A,Atrium,783,17.55
A,Atrium,784,16.49
A,Atrium,785,17.03
A,Atrium,786,17.46
A,Atrium,787,16.84
A,Atrium,788,17.81
A,Atrium,789,17.06
A,Atrium,790,16.01
A,Atrium,791,19.25
A,Atrium,792,17.36
A,Atrium,793,17.54
A,Atrium,794,17.37
A,Atrium,795,15.94
A,Atrium,796,16.88
A,Atrium,797,20.03
A,Atrium,798,17.31
A,Atrium,799,17.65
A,Atrium,800,17.4
A,Atrium,801,16.53
A,Atrium,802,18.53
A,Atrium,803,16.01
A,Atrium,804,16.24
A,Atrium,805,17.04
A,Atrium,806,15.92
A,Atrium,807,17.15
A,Atrium,808,17.34
A,Atrium,809,18.89
A,Atrium,810,14.86
A,Atrium,811,16.86
A,Atrium,812,17.84
A,Atrium,813,15.41
A,Atrium,814,16.58
A,Atrium,815,16.51
A,Atrium,816,15.81
A,Atrium,817,16.94
A,Atrium,818,16.39
A,Atrium,819,19.33
A,Atrium,820,18.22
A,Atrium,821,15.54
A,Atrium,822,16.87
A,Atrium,823,17.18
A,Atrium,824,17.38
A,Atrium,825,17.19
A,Atrium,826,17
A,Atrium,827,16.68
A,Atrium,828,17.29
A,Atrium,829,16.81
A,Atrium,830,18.08
A,Atrium,831,16.72
A,Atrium,832,16.63
A,Atrium,833,16.9
A,Atrium,834,16.46
A,Atrium,835,16.43
A,Atrium,836,18.21
A,Atrium,837,17.63
A,Atrium,838,15.56
A,Atrium,839,17.36
A,Atrium,840,20.04
A,Atrium,841,19
A,Atrium,842,17.58
A,Atrium,843,17.47
A,Atrium,844,17.81
A,Atrium,845,16.7
A,Atrium,846,17.32
A,Atrium,847,18.5
A,Atrium,848,18.87
A,Atrium,849,16.63
A,Atrium,850,16.46
A,Atrium,851,16.67
A,Atrium,852,14.6
A,Atrium,853,17.46
A,Atrium,854,16.7
A,Atrium,855,17.4
A,Atrium,856,18.48
A,Atrium,857,17.88
A,Atrium,858,16.86
A,Atrium,859,16.54
A,Atrium,860,17.98
A,Atrium,861,14.95
A,Atrium,862,17.34
A,Atrium,863,15.51
A,Atrium,864,18.7
A,Atrium,865,17.87
A,Atrium,866,16.82
A,Atrium,867,17.52
A,Atrium,868,15.52
A,Atrium,869,15.71
A,Atrium,870,16.54
A,Atrium,871,16.33
A,Atrium,872,16.3
A,Atrium,873,16.63
A,Atrium,874,17.49
A,Atrium,875,15.7
A,Atrium,876,17.22
A,Atrium,877,16.18
A,Atrium,878,18.63
A,Atrium,879,18.42
A,Atrium,880,18.53
A,Atrium,881,16.38
A,Atrium,882,17.35
A,Atrium,883,17.39
A,Atrium,884,16.7
A,Atrium,885,17.58
A,Atrium,886,16.05
A,Atrium,887,17.57
A,Atrium,888,17
A,Atrium,889,16.55
A,Atrium,890,20.22
A,Atrium,891,16.09
A,Atrium,892,16.97
A,Atrium,893,17.4
A,Atrium,894,17.72
A,Atrium,895,17.41
A,Atrium,896,17.08
A,Atrium,897,18.42
A,Atrium,898,17.95
A,Atrium,899,16.76
A,Atrium,900,16.12
A,Atrium,901,17.85
A,Atrium,902,15.11
A,Atrium,903,16.18
A,Atrium,904,17.76
A,Atrium,905,15.38
A,Atrium,906,18.61
A,Atrium,907,18.06
A,Atrium,908,17.79
A,Atrium,909,16.96
A,Atrium,910,15.95
A,Atrium,911,14.43
A,Atrium,912,17.91
A,Atrium,913,16.64
A,Atrium,914,17.51
A,Atrium,915,16.66
A,Atrium,916,18.2
A,Atrium,917,17.61
A,Atrium,918,17.53
A,Atrium,919,15.43
A,Atrium,920,16.85
A,Atrium,921,17.96
A,Atrium,922,17.56
A,Atrium,923,18
A,Atrium,924,16.28
A,Atrium,925,17.51
A,Atrium,926,17.66
A,Atrium,927,18.23
A,Atrium,928,17.09
A,Atrium,929,17.32
A,Atrium,930,16.74
A,Atrium,931,15.98
A,Atrium,932,15.1
A,Atrium,933,17.3
A,Atrium,934,14.82
A,Atrium,935,18.69
A,Atrium,936,16.44
A,Atrium,937,16.97
A,Atrium,938,16.02
A,Atrium,939,17
A,Atrium,940,15.29
A,Atrium,941,14.79
A,Atrium,942,17.24
A,Atrium,943,17.13
A,Atrium,944,15.3
A,Atrium,945,16.9
A,Atrium,946,16.25
A,Atrium,947,17.31
A,Atrium,948,16.4
A,Atrium,949,17.36
A,Atrium,950,15.88
A,Atrium,951,15.4
A,Atrium,952,17.31
A,Atrium,953,16.24
A,Atrium,954,15.98
A,Atrium,955,15.36
A,Atrium,956,16.18
A,Atrium,957,16.17
A,Atrium,958,16.96
A,Atrium,959,16.58
A,Atrium,960,16.45
A,Atrium,961,15.49
A,Atrium,962,15.84
A,Atrium,963,17.38
A,Atrium,964,19.37
A,Atrium,965,19.14
A,Atrium,966,15.78
A,Atrium,967,17.5
A,Atrium,968,13.97
A,Atrium,969,18.14
A,Atrium,970,15.9
A,Atrium,971,15.77
A,Atrium,972,15.93
A,Atrium,973,16.39
A,Atrium,974,15.37
A,Atrium,975,16.22
A,Atrium,976,16.16
A,Atrium,977,19.12
A,Atrium,978,14.16
A,Atrium,979,17.21
A,Atrium,980,17.71
A,Atrium,981,16.06
A,Atrium,982,18.96
A,Atrium,983,18.38
A,Atrium,984,17.96
A,Atrium,985,16.03
A,Atrium,986,17.43
A,Atrium,987,17.52
A,Atrium,988,15.54
A,Atrium,989,17.04
A,Atrium,990,16.84
A,Atrium,991,16.7
A,Atrium,992,17.53
A,Atrium,993,16.16
A,Atrium,994,18.28
A,Atrium,995,16.32
A,Atrium,996,17.22
A,Atrium,997,16.9
A,Atrium,998,18.6
A,Atrium,999,16.47
A,Atrium,1000,15.11
A,Atrium,1001,16.02
A,Atrium,1002,15.79
A,Atrium,1003,17.78
A,Atrium,1004,15.93
A,Atrium,1005,15.38
A,Atrium,1006,16.85
A,Atrium,1007,15.96
A,Atrium,1008,17.37
A,Atrium,1009,18.52
A,Atrium,1010,18.51
A,Atrium,1011,16.86
A,Atrium,1012,18.65
A,Atrium,1013,16.46
A,Atrium,1014,16.05
A,Atrium,1015,17.16
A,Atrium,1016,16.91
A,Atrium,1017,18.05
A,Atrium,1018,18.45
A,Atrium,1019,16.59
A,Atrium,1020,16.77
A,Atrium,1021,18.07
A,Atrium,1022,17.63
A,Atrium,1023,15.15
A,Atrium,1024,16.4
A,Atrium,1025,16.7
A,Atrium,1026,16.66
A,Atrium,1027,15.77
A,Atrium,1028,17.55
A,Atrium,1029,17.89
A,Atrium,1030,15.53
A,Atrium,1031,17.79
A,Atrium,1032,16.63
A,Atrium,1033,17.7
A,Atrium,1034,17.09
A,Atrium,1035,16.03
A,Atrium,1036,14.86
A,Atrium,1037,15.27
A,Atrium,1038,16.39
A,Atrium,1039,17.49
A,Atrium,1040,15.17
A,Atrium,1041,17.43
A,Atrium,1042,16.47
A,Atrium,1043,15.51
A,Atrium,1044,16.57
A,Atrium,1045,18.03
A,Atrium,1046,16.36
A,Atrium,1047,16.7
A,Atrium,1048,16.2
A,Atrium,1049,16.13
A,Atrium,1050,18.11
A,Atrium,1051,15.12
A,Atrium,1052,16.62
A,Atrium,1053,17.68
A,Atrium,1054,17.02
A,Atrium,1055,16.83
A,Atrium,1056,17.29
A,Atrium,1057,18.59
A,Atrium,1058,15.27
A,Atrium,1059,17.3
A,Atrium,1060,16.13
A,Atrium,1061,16.14
A,Atrium,1062,14.19
A,Atrium,1063,15.53
A,Atrium,1064,15.76
A,Atrium,1065,17.25
A,Atrium,1066,16.52
A,Atrium,1067,16.71
A,Atrium,1068,18.4
A,Atrium,1069,16.03
A,Atrium,1070,16.56
A,Atrium,1071,15.9
